size_tier,eeng,cserq,cloy,prod,teltr
Small,3.386896551724138,3.323793103448276,3.786551724137931,294.1034482758621,4246.551724137931
Medium,3.218928571428571,3.332142857142857,3.7425,290.89285714285717,4019.0
Large,3.237142857142857,3.373214285714286,3.7914285714285714,307.5,3984.75
